N,time
601,0.311512
601,0.314354
601,0.328560
601,0.333678
601,0.389118
601,0.378059
601,0.321541
601,0.314386
601,0.310530
621,0.433027
621,0.354090
621,0.338568
621,0.346563
621,0.340507
621,0.338538
621,0.399609
621,0.353731
621,0.337810
621,0.340565
621,0.346699
621,0.367847
621,0.414928
621,0.337617
621,0.336476
641,0.388339
641,0.387405
641,0.491492
641,0.452917
641,0.395507
641,0.395074
641,0.451030
641,0.424348
641,0.388141
641,0.387612
641,0.397695
641,0.475720
641,0.409279
641,0.389333
641,0.397804
661,0.452093
661,0.544927
661,0.460689
661,0.451941
661,0.455126
661,0.532928
661,0.456516
661,0.451220
661,0.470078
661,0.486092
661,0.466325
661,0.452734
661,0.458933
661,0.451017
661,0.502156
681,0.505112
681,0.546774
681,0.570265
681,0.530684
681,0.577058
681,0.516559
681,0.550362
681,0.517829
681,0.507426
681,0.511575
681,0.533534
681,0.504821
681,0.505679
681,0.503972
681,0.542920
701,0.566985
701,0.586565
701,0.625218
701,0.573480
701,0.581383
701,0.586947
701,0.688349
701,0.571896
701,0.579620
701,0.601976
701,0.575880
701,0.586692
701,0.593666
701,0.579771
701,0.570163
721,0.741034
721,0.669006
721,0.652271
721,0.660174
721,0.719380
721,0.670446
721,0.679811
721,0.762057
721,0.674268
721,0.735494
721,0.733617
721,0.656126
721,0.686698
721,0.729274
721,0.666114
741,0.759211
741,0.735100
741,0.734821
741,0.744442
741,0.728175
741,0.793911
741,0.820848
741,0.747821
741,0.801199
741,0.811453
741,0.803719
741,0.814886
741,0.735695
741,0.814499
741,0.732078
761,0.831855
761,0.808362
761,0.802439
761,0.883794
761,0.799233
761,0.838797
761,0.808420
761,0.809539
761,0.886905
761,0.798941
761,0.869038
761,0.816981
761,0.811317
761,0.884047
761,0.820457
781,0.913637
781,0.890547
781,0.913718
781,0.889172
781,0.953803
781,0.979062
781,0.971391
781,0.980767
781,0.954146
781,0.880524
781,0.878506
781,0.910954
781,0.904025
781,0.906006
781,0.886419
801,1.025134
801,0.976381
801,1.086310
801,1.036119
801,1.037838
801,0.978010
801,1.018018
801,0.989934
801,1.009748
801,1.042329
801,0.977869
801,0.984236
801,1.002977
801,0.978361
801,1.001286
821,1.133626
821,1.029339
821,1.030753
821,1.101682
821,1.032946
821,1.045480
821,1.076715
821,1.078597
821,1.088291
821,1.029037
821,1.055772
821,1.049484
821,1.113778
821,1.024084
821,1.169654
841,1.115723
841,1.190599
841,1.134811
841,1.095455
841,1.116123
841,1.103730
841,1.143757
841,1.185053
841,1.099845
841,1.114544
841,1.123313
841,1.181881
841,1.107348
841,1.135308
841,1.137804
861,1.316786
861,1.277039
861,1.290694
861,1.303615
861,1.260871
861,1.211303
861,1.335119
861,1.257231
861,1.311186
861,1.269009
861,1.199516
861,1.227640
861,1.247375
861,1.214194
861,1.249024
881,1.411686
881,1.380888
881,1.398445
881,1.408847
881,1.410224
881,1.377195
881,1.369338
881,1.328825
881,1.474757
881,1.408217
881,1.351704
881,1.394800
881,1.486485
881,1.369102
881,1.348324
901,1.571639
901,1.504720
901,1.532850
901,1.509483
901,1.557602
901,1.490687
901,1.479934
901,1.567060
901,1.486002
901,1.494187
901,1.544077
901,1.475877
901,1.522360
901,1.498334
901,1.535038
921,1.652426
921,1.630159
921,1.677760
