m, sec
1, 7.7716716257081402e-06
1, 2.5240998629786066e-06
1, 2.5183172447625621e-06
1, 2.5225630059423125e-06
1, 2.536888474558681e-06
1, 2.5362566508180638e-06
1, 2.5353972898156336e-06
1, 2.6310509591253352e-06
1, 2.6556433432652029e-06
1, 2.5831526034213521e-06
1, 2.5789513492803228e-06
1, 2.5786198485781252e-06
1, 2.5531076523046904e-06
1, 2.5695098318529506e-06
1, 2.5773750156943584e-06
1, 2.5490029721851007e-06
1, 2.528593652847321e-06
1, 2.55886361177085e-06
1, 2.5857749945214699e-06
1, 2.565628056397913e-06
1, 2.5611362844089871e-06
1, 2.5805342765016535e-06
1, 2.5568949284597617e-06
1, 2.5536228937510331e-06
1, 2.5313682659777009e-06
1, 2.5411889174386223e-06
1, 2.5611415138439329e-06
1, 2.5389715233383595e-06
1, 2.5390454459486491e-06
1, 2.5633653310545087e-06
1, 2.5605796337957119e-06
1, 2.6105235796094926e-06
1, 2.7749927191466714e-06
1, 2.7370313698311468e-06
1, 2.7183053032872938e-06
1, 2.6220966886148423e-06
1, 2.6028230092854999e-06
1, 2.6019338632405537e-06
1, 2.5859384427843593e-06
1, 2.6121991019343694e-06
1, 2.6362819572171553e-06
1, 2.5995556640157169e-06
1, 2.6205889345208531e-06
1, 2.6099588574770622e-06
1, 2.6178174476831037e-06
1, 2.6035132378566224e-06
1, 2.5951711238640165e-06
1, 2.5799749827500633e-06
1, 2.5813393821165243e-06
1, 2.602268291289487e-06
1, 2.5993990083340887e-06
1, 2.6005499103347312e-06
1, 2.6265357399416812e-06
1, 2.6020650538476651e-06
1, 2.6048141734826852e-06
1, 2.6077204035328075e-06
1, 2.5880678175366528e-06
1, 2.6170830247025233e-06
1, 2.659768685336996e-06
1, 2.6444013370702619e-06
1, 2.6280803274470256e-06
1, 2.657153768918349e-06
1, 2.5791466004655162e-06
1, 2.6275289915312219e-06
1, 2.6019548378220199e-06
1, 2.6184916468992847e-06
1, 2.6203164639076871e-06
1, 2.6599493850510372e-06
1, 2.6863479705477349e-06
1, 2.6421740525169503e-06
1, 2.6550664854331981e-06
1, 2.6622347333847488e-06
1, 2.6273963514611642e-06
1, 2.6289912154361747e-06
1, 2.659186370703309e-06
1, 2.682836916556986e-06
1, 2.539168820824184e-06
1, 2.5937994487619787e-06
1, 2.5864938997222664e-06
1, 2.5614712808747626e-06
1, 2.6122555457267703e-06
1, 2.5865367015104616e-06
1, 2.5630158399592646e-06
1, 2.5494980064127135e-06
1, 2.5634296758410119e-06
1, 2.5658826218805592e-06
1, 2.5712238928397081e-06
1, 2.5961921141954421e-06
1, 2.6328658004181622e-06
1, 2.6467087683982817e-06
1, 2.6112909423460615e-06
1, 2.5961506766076674e-06
