m, sec
1, 8.7798302027153941e-07
1, 7.6852495006444111e-07
1, 7.5671745437433307e-07
1, 7.466568741644446e-07
1, 8.8920339820564619e-07
1, 9.1964376849837725e-07
1, 9.2750653656820686e-07
1, 9.2695906588692823e-07
1, 9.3557833993164611e-07
1, 9.3980287074235113e-07
1, 9.3138328153419373e-07
1, 9.1557214181814406e-07
1, 9.1342329878901504e-07
1, 9.0542521908997051e-07
1, 9.096360794756279e-07
1, 9.1662672558492612e-07
1, 9.1173277025951222e-07
1, 9.1500670916466131e-07
1, 9.1511709571535882e-07
1, 9.0818312076519825e-07
1, 9.1297765998496331e-07
1, 9.1306147304830194e-07
1, 9.1422419811925596e-07
1, 8.9230843204622386e-07
1, 8.8565218556501696e-07
1, 8.9181430728555788e-07
1, 8.8451066244226586e-07
1, 9.7340082501269384e-07
1, 8.8950681911585386e-07
1, 8.9397514391005101e-07
1, 8.8511909582983852e-07
1, 8.9213580385133806e-07
1, 8.782967011057434e-07
1, 8.7265982496796276e-07
1, 8.8867789683530708e-07
1, 8.7605026090485984e-07
1, 8.7780041636107819e-07
1, 8.8729783758485153e-07
1, 9.8997136962952553e-07
1, 8.864871330640878e-07
1, 8.8366980340803922e-07
1, 9.9174926382762874e-07
1, 8.6980384296666479e-07
1, 8.8446211964396736e-07
1, 8.7760823462683094e-07
1, 8.8376325113684803e-07
1, 8.7535221660216123e-07
1, 8.7015833613011739e-07
1, 8.6871495524347388e-07
1, 8.7057231411607509e-07
1, 9.8190635884734704e-07
1, 8.6237852849836351e-07
1, 8.6295169162089604e-07
1, 8.6455746919927121e-07
1, 8.7199841513072476e-07
1, 8.7206304412564915e-07
1, 9.7390100341272616e-07
1, 8.6521677589419412e-07
1, 8.5267843824960974e-07
1, 8.6367053998000828e-07
1, 8.5529648096088723e-07
1, 8.5422066682506008e-07
1, 9.6523958125918128e-07
1, 8.6205831087047759e-07
1, 8.6055953776259068e-07
1, 8.6679921996120921e-07
1, 8.6053202638744259e-07
1, 8.7073186872359723e-07
1, 8.6265656959658015e-07
1, 8.6332309518539527e-07
1, 8.6169014728197725e-07
